Id,Cuit,Gln,Name
456,45746543646,3573873874,Uno Medical
457,465465465465,76879878,Aurinco
458,7467676,768787,KOLER
459,64526,6453675,PLASTIMED
460,6767675749847,6876878978,ELIT
461,456899744882,876767464,BSN Medical
462,57687,674354,PORTA HNOS SA
463,768768764,435465464,Laboratorio ANIOS
464,7626457538,68497825,KIMS SRL
465,375673268753,7667524742657,ANADELIA SA
466,25757577,7357358735,MEDIGLOVE SRL
467,7326572675,6743687438,RÜSCH
468,2635836,653648,SILMAG
469,76835675687,564673176531,DCD PRODUCTS SRL
470,72576572,6472368345768,HIPAFIX
471,52675,7839874,PADEMED
472,35768635487,573645363,INSUMOS MEDICINALES SRL
473,732675267852,457842879,INTERLIFE 
474,34594529,743987439874,KENDALL
475,7383578678,4635752375,FRESENIUS 
476,26767542,54265206,ALLPRO
477,763567546,6473593678,ELECTRONPLAST SA
478,7656543267432768,10635106456,MEDICAL PLUS
479,765765367,4324652,HG MEDICA
480,57657654,38746874684,SONOMED
481,753762476,3679835,SHINOBI SRL
482,6778876873,75755257,BIOFIT 
483,6257987836,786786373,BIOPLAS SRL
484,735674267842,78378367,KOLER
485,65768764,26476866,ATUCHA
486,357942549,753753573,TOM FAC
487,68767674,46574657,AURINCO
488,4343654354,7537537583,CITIZEN
489,645297526752,465465247,TENSOPLAST SPORT
490,765276852753,5397397893,STERILYS 
491,54324642778,28579529,INSUMOS XXI
492,756387635,345367453,ROLLS SRL
493,67536753985,21650645,CROMAX
494,67526724657,6206742065724,BabyLook
495,4653674356,5476357436,Bionic SRL
496,6854165318,54985648,glass klass
497,654367546,526746276,GALEMED CORPORATION
498,687687687464,765765464,SUPERIOR QUALITY LEVEL
499,5674647654,674687574,Coloplast de Argentina S.A.
503,1000001,1000001,Importado Sin Lab Nacional
504,76876464,465465464,TECNOLAB S.A.
505,7527652672,674297529675,Jingsu Webset Medical Product
506,76576296,367863786,Surgicare
507,65765765746,573556,Solan Medica
